IdCliente,Evasao,Genero,Idoso,Parceiro,Dependentes,Meses_Contrato,Servico_Telefonico,Multiplas_Linhas,Servico_Internet,Seguranca_Online,Backup_Online,Protecao_Dispositivo,Suporte_Tecnico,Streaming_TV,Streaming_Filmes,Tipo_Contrato,Fatura_Digital,Metodo_Pagamento,Gasto_Mensal,Gasto_Total,Contas_Diarias
0002-ORFBO,Nao,Feminino,0,Sim,Sim,9,Sim,Nao,DSL,Nao,Sim,Nao,Sim,Sim,Nao,Um_ano,Sim,Cheque_enviado,65.6,593.3,2.1866666666666665
0003-MKNFE,Nao,Masculino,0,Nao,Nao,9,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Nao,Cheque_enviado,59.9,542.4,1.9966666666666666
0004-TLHLJ,Sim,Masculino,0,Nao,Nao,4,Sim,Nao,Fibra_optica,Nao,Nao,Sim,Nao,Nao,Nao,Mensal,Sim,Cheque_eletronico,73.9,280.85,2.4633333333333334
0011-IGKFF,Sim,Masculino,1,Sim,Nao,13,Sim,Nao,Fibra_optica,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Sim,Cheque_eletronico,98.0,1237.85,3.2666666666666666
0013-EXCHZ,Sim,Feminino,1,Sim,Nao,3,Sim,Nao,Fibra_optica,Nao,Nao,Nao,Sim,Sim,Nao,Mensal,Sim,Cheque_enviado,83.9,267.4,2.796666666666667
0013-MHZWF,Nao,Feminino,0,Nao,Sim,9,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,Cartao_credito_automatico,69.4,571.45,2.3133333333333335
0013-SMEOE,Nao,Feminino,1,Sim,Nao,71,Sim,Nao,Fibra_optica,Sim,Sim,Sim,Sim,Sim,Sim,Dois_anos,Sim,Transferencia_automatica,109.7,7904.25,3.6566666666666667
0014-BMAQU,Nao,Masculino,0,Sim,Nao,63,Sim,Sim,Fibra_optica,Sim,Nao,Nao,Sim,Nao,Nao,Dois_anos,Sim,Cartao_credito_automatico,84.65,5377.8,2.8216666666666668
0015-UOCOJ,Nao,Feminino,1,Nao,Nao,7,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,Cheque_eletronico,48.2,340.35,1.6066666666666667
0016-QLJIS,Nao,Feminino,0,Sim,Sim,65,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Dois_anos,Sim,Cheque_enviado,90.45,5957.9,3.015
0017-DINOC,Nao,Masculino,0,Nao,Nao,54,Nao,Sem_telefone,DSL,Sim,Nao,Nao,Sim,Sim,Nao,Dois_anos,Nao,Cartao_credito_automatico,45.2,2460.55,1.5066666666666668
0017-IUDMW,Nao,Feminino,0,Sim,Sim,72,Sim,Sim,Fibra_optica,Sim,Sim,Sim,Sim,Sim,Sim,Dois_anos,Sim,Cartao_credito_automatico,116.8,8456.75,3.893333333333333
0018-NYROU,Nao,Feminino,0,Sim,Nao,5,Sim,Nao,Fibra_optica,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,Cheque_eletronico,68.95,351.5,2.2983333333333333
0019-EFAEP,Nao,Feminino,0,Nao,Nao,72,Sim,Sim,Fibra_optica,Sim,Sim,Sim,Nao,Sim,Nao,Dois_anos,Sim,Transferencia_automatica,101.3,7261.25,3.3766666666666665
0019-GFNTW,Nao,Feminino,0,Nao,Nao,56,Nao,Sem_telefone,DSL,Sim,Sim,Sim,Sim,Nao,Nao,Dois_anos,Nao,Transferencia_automatica,45.05,2560.1,1.5016666666666665
0020-INWCK,Nao,Feminino,0,Sim,Sim,71,Sim,Sim,Fibra_optica,Nao,Sim,Sim,Nao,Nao,Sim,Dois_anos,Sim,Cartao_credito_automatico,95.75,6849.4,3.191666666666667
0020-JDNXP,Nao,Feminino,0,Sim,Sim,34,Nao,Sem_telefone,DSL,Sim,Nao,Sim,Sim,Sim,Sim,Um_ano,Nao,Cheque_enviado,61.25,1993.2,2.0416666666666665
0021-IKXGC,Nao,Feminino,1,Nao,Nao,1,Sim,Sim,Fibra_optica,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,Cheque_eletronico,72.1,72.1,2.4033333333333333
0022-TCJCI,Sim,Masculino,1,Nao,Nao,45,Sim,Nao,DSL,Sim,Nao,Sim,Nao,Nao,Sim,Um_ano,Nao,Cartao_credito_automatico,62.7,2791.5,2.0900000000000003
0023-HGHWL,Sim,Masculino,1,Nao,Nao,1,Nao,Sem_telefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,Cheque_eletronico,25.1,25.1,0.8366666666666667
0023-UYUPN,Nao,Feminino,1,Sim,Nao,50,Sim,Sim,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Um_ano,Nao,Cheque_eletronico,25.2,1306.3,0.84
0023-XUOPT,Sim,Feminino,0,Sim,Nao,13,Sim,Sim,Fibra_optica,Nao,Sim,Sim,Nao,Sim,Nao,Mensal,Nao,Cheque_eletronico,94.1,1215.6,3.1366666666666663
0027-KWYKW,Nao,Feminino,0,Sim,Sim,23,Sim,Sim,Fibra_optica,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Sim,Cheque_eletronico,83.75,1849.95,2.7916666666666665
0030-FNXPP,Nao,Feminino,0,Nao,Nao,3,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Mensal,Nao,Cheque_enviado,19.85,57.2,0.6616666666666667
0031-PVLZI,Sim,Feminino,0,Sim,Sim,4,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Mensal,Nao,Cheque_enviado,20.35,76.35,0.6783333333333333
0032-PGELS,Sim,Feminino,0,Sim,Sim,1,Nao,Sem_telefone,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,Transferencia_automatica,30.5,30.5,1.0166666666666666
0036-IHMOT,Nao,Feminino,0,Sim,Sim,55,Sim,Nao,Fibra_optica,Nao,Sim,Sim,Sim,Sim,Sim,Um_ano,Sim,Transferencia_automatica,103.7,5656.75,3.4566666666666666
0040-HALCW,Nao,Masculino,0,Sim,Sim,54,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Dois_anos,Nao,Cartao_credito_automatico,20.4,1090.6,0.6799999999999999
0042-JVWOJ,Nao,Masculino,0,Nao,Nao,26,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Um_ano,Sim,Transferencia_automatica,19.6,471.85,0.6533333333333334
0042-RLHYP,Nao,Feminino,0,Sim,Sim,69,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Dois_anos,Nao,Transferencia_automatica,19.7,1396.9,0.6566666666666666
0048-LUMLS,Nao,Masculino,0,Sim,Sim,37,Sim,Nao,Fibra_optica,Nao,Nao,Nao,Nao,Sim,Sim,Um_ano,Nao,Cartao_credito_automatico,91.2,3247.55,3.04
0048-PIHNL,Nao,Feminino,0,Sim,Nao,49,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Um_ano,Nao,Transferencia_automatica,20.45,900.9,0.6816666666666666
0052-DCKON,Nao,Masculino,0,Sim,Nao,66,Sim,Sim,Fibra_optica,Sim,Sim,Sim,Sim,Sim,Sim,Um_ano,Nao,Transferencia_automatica,115.8,7942.15,3.86
0052-YNYOT,Nao,Feminino,0,Nao,Nao,67,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Um_ano,Nao,Cheque_eletronico,20.55,1343.4,0.685
0056-EPFBG,Nao,Masculino,0,Sim,Sim,20,Nao,Sem_telefone,DSL,Sim,Nao,Sim,Sim,Nao,Nao,Dois_anos,Sim,Cartao_credito_automatico,39.4,825.4,1.3133333333333332
0057-QBUQH,Nao,Feminino,0,Nao,Sim,43,Sim,Sim,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Dois_anos,Sim,Cheque_eletronico,25.1,1070.15,0.8366666666666667
